?intervention	?interventionLabel
<http://www.wikidata.org/entity/Q411054>	"dihydrotestosterone"@en
<http://www.wikidata.org/entity/Q411159>	"famotidine"@en
<http://www.wikidata.org/entity/Q411094>	"ibotenic acid"@en
<http://www.wikidata.org/entity/Q411041>	"substance P"@en
<http://www.wikidata.org/entity/Q411175>	"mifamurtide"@en
<http://www.wikidata.org/entity/Q408984>	"terephthalic acid"@en
<http://www.wikidata.org/entity/Q410435>	"benzbromarone"@en
<http://www.wikidata.org/entity/Q409133>	"chloroethane"@en
<http://www.wikidata.org/entity/Q409192>	"ketoprofen"@en
<http://www.wikidata.org/entity/Q411659>	"daunorubicin"@en
<http://www.wikidata.org/entity/Q411412>	"rofecoxib"@en
<http://www.wikidata.org/entity/Q411707>	"amifampridine"@en
<http://www.wikidata.org/entity/Q411770>	"silodosin"@en
<http://www.wikidata.org/entity/Q411781>	"Teriparatide"@en
<http://www.wikidata.org/entity/Q411417>	"cephalexin"@en
<http://www.wikidata.org/entity/Q411235>	"iron(II,III) oxide"@en
<http://www.wikidata.org/entity/Q411424>	"benzoyl peroxide"@en
<http://www.wikidata.org/entity/Q412197>	"irinotecan"@en
<http://www.wikidata.org/entity/Q411582>	"nifurtimox"@en
<http://www.wikidata.org/entity/Q411594>	"methoxyflurane"@en
<http://www.wikidata.org/entity/Q410189>	"Blinatumomab"@en
<http://www.wikidata.org/entity/Q410195>	"frovatriptan"@en
<http://www.wikidata.org/entity/Q410237>	"clopidogrel"@en
<http://www.wikidata.org/entity/Q410285>	"rolipram"@en
<http://www.wikidata.org/entity/Q410273>	"eslicarbazepine acetate"@en
<http://www.wikidata.org/entity/Q412178>	"tamoxifen"@en
<http://www.wikidata.org/entity/Q411447>	"DL-ofloxacin"@en
<http://www.wikidata.org/entity/Q410794>	"afamelanotide"@en
<http://www.wikidata.org/entity/Q410842>	"phenylacetic acid"@en
<http://www.wikidata.org/entity/Q410884>	"cantharidin"@en
<http://www.wikidata.org/entity/Q411456>	"methocarbamol"@en
<http://www.wikidata.org/entity/Q411457>	"trazodone"@en
<http://www.wikidata.org/entity/Q410958>	"diminazene"@en
<http://www.wikidata.org/entity/Q412182>	"stiripentol"@en
<http://www.wikidata.org/entity/Q412189>	"memantine"@en
<http://www.wikidata.org/entity/Q411461>	"pilocarpine"@en
<http://www.wikidata.org/entity/Q412323>	"rituximab"@en
<http://www.wikidata.org/entity/Q412174>	"pregabalin"@en
<http://www.wikidata.org/entity/Q411478>	"fluconazole"@en
<http://www.wikidata.org/entity/Q411515>	"methylnaltrexone"@en
<http://www.wikidata.org/entity/Q411787>	"miltefosine"@en
<http://www.wikidata.org/entity/Q411887>	"rivastigmine"@en
<http://www.wikidata.org/entity/Q411917>	"glycopyrrolate"@en
<http://www.wikidata.org/entity/Q412221>	"clonidine"@en
<http://www.wikidata.org/entity/Q412318>	"ethambutol"@en
<http://www.wikidata.org/entity/Q412236>	"voriconazole"@en
<http://www.wikidata.org/entity/Q411985>	"(6S)-rotigotine"@en
<http://www.wikidata.org/entity/Q412299>	"oxazepam"@en
<http://www.wikidata.org/entity/Q412415>	"cisplatin"@en
<http://www.wikidata.org/entity/Q412223>	"amphotericin B"@en
<http://www.wikidata.org/entity/Q412194>	"buspirone"@en
<http://www.wikidata.org/entity/Q412399>	"calcium oxalate"@en
<http://www.wikidata.org/entity/Q411905>	"HU-210"@en
<http://www.wikidata.org/entity/Q412205>	"bisphosphonate"@en
<http://www.wikidata.org/entity/Q412208>	"lisinopril"@en
<http://www.wikidata.org/entity/Q412226>	"yohimbine"@en
<http://www.wikidata.org/entity/Q413299>	"bevacizumab"@en
<http://www.wikidata.org/entity/Q412534>	"(±)-carvedilol"@en
<http://www.wikidata.org/entity/Q412616>	"trastuzumab"@en
<http://www.wikidata.org/entity/Q412621>	"methyldopa"@en
<http://www.wikidata.org/entity/Q412340>	"Chloral hydrate"@en
<http://www.wikidata.org/entity/Q412443>	"risperidone"@en
<http://www.wikidata.org/entity/Q412666>	"ramipril"@en
<http://www.wikidata.org/entity/Q412677>	"pitavastatin"@en
<http://www.wikidata.org/entity/Q412685>	"gemtuzumab ozogamicin"@en
<http://www.wikidata.org/entity/Q412690>	"galantamine"@en
<http://www.wikidata.org/entity/Q412765>	"Palivizumab"@en
<http://www.wikidata.org/entity/Q412734>	"peramivir"@en
<http://www.wikidata.org/entity/Q412909>	"Certolizumab pegol"@en
<http://www.wikidata.org/entity/Q412827>	"carnosic acid"@en
<http://www.wikidata.org/entity/Q412867>	"nadroparin calcium"@en
<http://www.wikidata.org/entity/Q412888>	"Drotrecogin alfa"@en
<http://www.wikidata.org/entity/Q413050>	"tetrabenazine"@en
<http://www.wikidata.org/entity/Q412920>	"Daclizumab"@en
<http://www.wikidata.org/entity/Q413486>	"diphenhydramine"@en
<http://www.wikidata.org/entity/Q413512>	"salvinorin A"@en
<http://www.wikidata.org/entity/Q413504>	"azelaic acid"@en
<http://www.wikidata.org/entity/Q413546>	"clotrimazole"@en
<http://www.wikidata.org/entity/Q413578>	"mupirocin"@en
<http://www.wikidata.org/entity/Q413581>	"bromocriptine"@en
<http://www.wikidata.org/entity/Q414143>	"gemcitabine"@en
<http://www.wikidata.org/entity/Q413586>	"naftifine"@en
<http://www.wikidata.org/entity/Q413591>	"sotalol"@en
<http://www.wikidata.org/entity/Q413598>	"prilocaine"@en
<http://www.wikidata.org/entity/Q413621>	"telbivudine"@en
<http://www.wikidata.org/entity/Q414225>	"(S)-(−)-carbidopa monohydrate"@en
<http://www.wikidata.org/entity/Q415081>	"donepezil"@en
<http://www.wikidata.org/entity/Q413690>	"acetazolamide"@en
<http://www.wikidata.org/entity/Q415122>	"fexofenadine"@en
<http://www.wikidata.org/entity/Q415118>	"pipamperone"@en
<http://www.wikidata.org/entity/Q413717>	"(RS)-baclofen"@en
<http://www.wikidata.org/entity/Q415107>	"vidarabine"@en
<http://www.wikidata.org/entity/Q415178>	"ivermectin"@en
<http://www.wikidata.org/entity/Q415173>	"cefpodoxime"@en
<http://www.wikidata.org/entity/Q413728>	"cefuroxime"@en
<http://www.wikidata.org/entity/Q413722>	"selenious acid"@en
<http://www.wikidata.org/entity/Q413762>	"Hyoscyamine"@en
<http://www.wikidata.org/entity/Q413744>	"lumiracoxib"@en
<http://www.wikidata.org/entity/Q413918>	"isoflurane"@en
<http://www.wikidata.org/entity/Q413840>	"tolcapone"@en
<http://www.wikidata.org/entity/Q413877>	"mivacurium"@en
<http://www.wikidata.org/entity/Q413805>	"Tibolone"@en
<http://www.wikidata.org/entity/Q415167>	"cefaclor"@en
<http://www.wikidata.org/entity/Q413976>	"piribedil"@en
<http://www.wikidata.org/entity/Q413894>	"atipamezole"@en
<http://www.wikidata.org/entity/Q413994>	"(S)-(−)-timolol"@en
<http://www.wikidata.org/entity/Q414030>	"cladribine"@en
<http://www.wikidata.org/entity/Q415220>	"pemetrexed"@en
<http://www.wikidata.org/entity/Q413147>	"(+)-norephedrin"@en
<http://www.wikidata.org/entity/Q413184>	"eszopiclone"@en
<http://www.wikidata.org/entity/Q412939>	"Estramustine"@en
<http://www.wikidata.org/entity/Q413288>	"bile acids"@en
<http://www.wikidata.org/entity/Q414270>	"Ranibizumab"@en
<http://www.wikidata.org/entity/Q413349>	"selenic acid"@en
<http://www.wikidata.org/entity/Q412479>	"mesalazine"@en
<http://www.wikidata.org/entity/Q413370>	"(RS)-tegafur"@en
<http://www.wikidata.org/entity/Q414116>	"trans-caffeic acid"@en
<http://www.wikidata.org/entity/Q414762>	"etravirine"@en
<http://www.wikidata.org/entity/Q412486>	"allopurinol"@en
<http://www.wikidata.org/entity/Q414089>	"keto-D-tagatose"@en
<http://www.wikidata.org/entity/Q414896>	"NMDA receptor"@en
<http://www.wikidata.org/entity/Q414914>	"biperiden"@en
<http://www.wikidata.org/entity/Q414796>	"temazepam"@en
<http://www.wikidata.org/entity/Q415190>	"benzimidazole"@en
<http://www.wikidata.org/entity/Q414873>	"isradipine"@en
<http://www.wikidata.org/entity/Q414986>	"estrone"@en
<http://www.wikidata.org/entity/Q415051>	"midodrine"@en
<http://www.wikidata.org/entity/Q415032>	"eletriptan"@en
<http://www.wikidata.org/entity/Q415049>	"monobasic potassium phosphate"@en
<http://www.wikidata.org/entity/Q412529>	"rimonabant"@en
<http://www.wikidata.org/entity/Q415020>	"lactitol"@en
<http://www.wikidata.org/entity/Q413634>	"vanadyl sulfate"@en
<http://www.wikidata.org/entity/Q414013>	"carbimazole"@en
<http://www.wikidata.org/entity/Q414028>	"meloxicam"@en
<http://www.wikidata.org/entity/Q415343>	"Etanercept"@en
<http://www.wikidata.org/entity/Q415366>	"tirofiban"@en
<http://www.wikidata.org/entity/Q415378>	"lomustine"@en
<http://www.wikidata.org/entity/Q415392>	"Omalizumab"@en
<http://www.wikidata.org/entity/Q415238>	"tolnaftate"@en
<http://www.wikidata.org/entity/Q415259>	"terbinafine"@en
<http://www.wikidata.org/entity/Q415242>	"altretamine"@en
<http://www.wikidata.org/entity/Q415588>	"carboplatin"@en
<http://www.wikidata.org/entity/Q415401>	"dorzolamide"@en
<http://www.wikidata.org/entity/Q415403>	"flupirtine"@en
<http://www.wikidata.org/entity/Q415411>	"anakinra"@en
<http://www.wikidata.org/entity/Q415433>	"naphazoline"@en
<http://www.wikidata.org/entity/Q415571>	"Bleomycin"@en
<http://www.wikidata.org/entity/Q415264>	"infliximab"@en
<http://www.wikidata.org/entity/Q416132>	"betamethasone"@en
<http://www.wikidata.org/entity/Q416199>	"artemether"@en
<http://www.wikidata.org/entity/Q416237>	"flunarizine"@en
<http://www.wikidata.org/entity/Q416206>	"pentamidine"@en
<http://www.wikidata.org/entity/Q416260>	"ursolic acid"@en
<http://www.wikidata.org/entity/Q416073>	"rifaximin"@en
<http://www.wikidata.org/entity/Q416331>	"pentoxifylline"@en
<http://www.wikidata.org/entity/Q416451>	"azacitidine"@en
<http://www.wikidata.org/entity/Q416096>	"griseofulvin"@en
<http://www.wikidata.org/entity/Q415265>	"proanthocyanidins"@en
<http://www.wikidata.org/entity/Q415578>	"antipyrine"@en
<http://www.wikidata.org/entity/Q415304>	"desogestrel"@en
<http://www.wikidata.org/entity/Q415336>	"minocycline"@en
<http://www.wikidata.org/entity/Q415970>	"candesartan"@en
<http://www.wikidata.org/entity/Q415997>	"ketanserin"@en
<http://www.wikidata.org/entity/Q416025>	"misoprostol"@en
<http://www.wikidata.org/entity/Q416562>	"opipramol"@en
<http://www.wikidata.org/entity/Q416584>	"nitrendipine"@en
<http://www.wikidata.org/entity/Q416579>	"triclocarban"@en
<http://www.wikidata.org/entity/Q416660>	"Vindesine"@en
<http://www.wikidata.org/entity/Q416667>	"medroxyprogesterone"@en
<http://www.wikidata.org/entity/Q416475>	"glutaral"@en
<http://www.wikidata.org/entity/Q416463>	"alosetron"@en
<http://www.wikidata.org/entity/Q416485>	"Streptokinase"@en
<http://www.wikidata.org/entity/Q416494>	"Muromonab"@en
<http://www.wikidata.org/entity/Q416341>	"flufenamic acid"@en
<http://www.wikidata.org/entity/Q416370>	"iron(II) fumarate"@en
<http://www.wikidata.org/entity/Q416431>	"diphenoxylate"@en
<http://www.wikidata.org/entity/Q416444>	"entacapone"@en
<http://www.wikidata.org/entity/Q415625>	"paromomycin"@en
<http://www.wikidata.org/entity/Q416507>	"thiotepa"@en
<http://www.wikidata.org/entity/Q415709>	"clavulanic acid"@en
<http://www.wikidata.org/entity/Q416760>	"mepivacaine"@en
<http://www.wikidata.org/entity/Q416821>	"Menotropins"@en
<http://www.wikidata.org/entity/Q416791>	"cidoxepin"@en
<http://www.wikidata.org/entity/Q416905>	"carisoprodol"@en
<http://www.wikidata.org/entity/Q415843>	"sulfamethoxazole"@en
<http://www.wikidata.org/entity/Q416516>	"enoxaparin sodium"@en
<http://www.wikidata.org/entity/Q416728>	"diethylenetriamine"@en
<http://www.wikidata.org/entity/Q416740>	"enflurane"@en
<http://www.wikidata.org/entity/Q416701>	"(RS)-mianserin"@en
<http://www.wikidata.org/entity/Q416950>	"levonorgestrel"@en
<http://www.wikidata.org/entity/Q415869>	"carmustine"@en
<http://www.wikidata.org/entity/Q415939>	"chlorambucil"@en
<http://www.wikidata.org/entity/Q414275>	"tolbutamide"@en
<http://www.wikidata.org/entity/Q416975>	"dacarbazine"@en
<http://www.wikidata.org/entity/Q414501>	"piperine"@en
<http://www.wikidata.org/entity/Q414462>	"apixaban"@en
<http://www.wikidata.org/entity/Q414413>	"enrofloxacin"@en
<http://www.wikidata.org/entity/Q414599>	"potassium iodate"@en
<http://www.wikidata.org/entity/Q414626>	"sodium selenite"@en
<http://www.wikidata.org/entity/Q417208>	"quinacrine"@en
<http://www.wikidata.org/entity/Q417222>	"methylprednisolone"@en
<http://www.wikidata.org/entity/Q414745>	"buserelin"@en
<http://www.wikidata.org/entity/Q414547>	"sodium salicylate"@en
<http://www.wikidata.org/entity/Q414754>	"apocynin"@en
<http://www.wikidata.org/entity/Q417571>	"pyrazinamide"@en
<http://www.wikidata.org/entity/Q417625>	"mitomycins"@en
<http://www.wikidata.org/entity/Q417597>	"procainamide"@en
<http://www.wikidata.org/entity/Q417640>	"ganciclovir"@en
<http://www.wikidata.org/entity/Q417740>	"lovastatin"@en
<http://www.wikidata.org/entity/Q417762>	"exenatide"@en
<http://www.wikidata.org/entity/Q415734>	"aminopterin"@en
<http://www.wikidata.org/entity/Q415739>	"cefazolin"@en
<http://www.wikidata.org/entity/Q415744>	"riluzole"@en
<http://www.wikidata.org/entity/Q415752>	"pergolide"@en
<http://www.wikidata.org/entity/Q416682>	"picolinic acid"@en
<http://www.wikidata.org/entity/Q416487>	"pentetic acid"@en
<http://www.wikidata.org/entity/Q417813>	"oxymetazoline"@en
<http://www.wikidata.org/entity/Q416677>	"Racecadotril"@en
<http://www.wikidata.org/entity/Q417765>	"pioglitazone"@en
<http://www.wikidata.org/entity/Q417902>	"remifentanil"@en
<http://www.wikidata.org/entity/Q416510>	"Serpin family G member 1"@en
<http://www.wikidata.org/entity/Q416554>	"dinoprostone"@en
<http://www.wikidata.org/entity/Q417227>	"(S)-etiracetam"@en
<http://www.wikidata.org/entity/Q416978>	"sumatriptan"@en
<http://www.wikidata.org/entity/Q417296>	"febuxostat"@en
<http://www.wikidata.org/entity/Q417097>	"levamisole"@en
<http://www.wikidata.org/entity/Q417767>	"montelukast"@en
<http://www.wikidata.org/entity/Q417317>	"insulin glargine"@en
<http://www.wikidata.org/entity/Q415957>	"genistein"@en
<http://www.wikidata.org/entity/Q417178>	"clomethiazole"@en
<http://www.wikidata.org/entity/Q417141>	"(RS)-econazole"@en
<http://www.wikidata.org/entity/Q418157>	"phentermine"@en
<http://www.wikidata.org/entity/Q417909>	"terfenadine"@en
<http://www.wikidata.org/entity/Q418179>	"atovaquone"@en
<http://www.wikidata.org/entity/Q418167>	"mebeverine"@en
<http://www.wikidata.org/entity/Q418529>	"mercaptopurine"@en
<http://www.wikidata.org/entity/Q418546>	"aztreonam"@en
<http://www.wikidata.org/entity/Q418192>	"bexarotene"@en
<http://www.wikidata.org/entity/Q418560>	"ifosfamide"@en
<http://www.wikidata.org/entity/Q418274>	"glatiramer acetate"@en
<http://www.wikidata.org/entity/Q418201>	"cilastatin"@en
<http://www.wikidata.org/entity/Q417542>	"sunitinib"@en
<http://www.wikidata.org/entity/Q417555>	"teniposide"@en
<http://www.wikidata.org/entity/Q417465>	"mitotane"@en
<http://www.wikidata.org/entity/Q417362>	"ferulic acid"@en
<http://www.wikidata.org/entity/Q418594>	"valacyclovir"@en
<http://www.wikidata.org/entity/Q417489>	"pimecrolimus"@en
<http://www.wikidata.org/entity/Q416545>	"asenapine"@en
<http://www.wikidata.org/entity/Q418480>	"tamsulosin"@en
<http://www.wikidata.org/entity/Q418611>	"clofazimine"@en
<http://www.wikidata.org/entity/Q418656>	"procarbazine"@en
<http://www.wikidata.org/entity/Q418625>	"aprotinin"@en
<http://www.wikidata.org/entity/Q418607>	"carbendazim"@en
<http://www.wikidata.org/entity/Q418571>	"ethacrynic acid"@en
<http://www.wikidata.org/entity/Q418374>	"naringenin"@en
<http://www.wikidata.org/entity/Q418386>	"triethylenetetramine"@en
<http://www.wikidata.org/entity/Q418384>	"fisetin"@en
<http://www.wikidata.org/entity/Q418586>	"entecavir"@en
<http://www.wikidata.org/entity/Q418445>	"etomidate"@en
<http://www.wikidata.org/entity/Q417915>	"sufentanil"@en
<http://www.wikidata.org/entity/Q418508>	"cycloserine"@en
<http://www.wikidata.org/entity/Q418523>	"niclosamide"@en
<http://www.wikidata.org/entity/Q418011>	"mechlorethamine"@en
<http://www.wikidata.org/entity/Q419319>	"bortezomib"@en
<http://www.wikidata.org/entity/Q417824>	"gefitinib"@en
<http://www.wikidata.org/entity/Q419345>	"dabigatran"@en
<http://www.wikidata.org/entity/Q418050>	"sertindole"@en
<http://www.wikidata.org/entity/Q419374>	"dipyridamole"@en
<http://www.wikidata.org/entity/Q419164>	"hydroquinone"@en
<http://www.wikidata.org/entity/Q417874>	"bisacodyl"@en
<http://www.wikidata.org/entity/Q419383>	"desflurane"@en
<http://www.wikidata.org/entity/Q419215>	"strontium ranelate"@en
<http://www.wikidata.org/entity/Q419170>	"iron(III) oxide"@en
<http://www.wikidata.org/entity/Q419394>	"sevoflurane"@en
<http://www.wikidata.org/entity/Q417775>	"Panitumumab"@en
<http://www.wikidata.org/entity/Q418669>	"flutamide"@en
<http://www.wikidata.org/entity/Q418702>	"Basiliximab"@en
<http://www.wikidata.org/entity/Q418705>	"glycyrrhizin"@en
<http://www.wikidata.org/entity/Q418725>	"oxacillin"@en
<http://www.wikidata.org/entity/Q418730>	"clomiphene"@en
<http://www.wikidata.org/entity/Q418666>	"tranexamic acid"@en
<http://www.wikidata.org/entity/Q420436>	"docetaxel"@en
<http://www.wikidata.org/entity/Q419964>	"camptothecin"@en
<http://www.wikidata.org/entity/Q420439>	"dimenhydrinate"@en
<http://www.wikidata.org/entity/Q420454>	"proflavine"@en
<http://www.wikidata.org/entity/Q420532>	"vinorelbine"@en
<http://www.wikidata.org/entity/Q419977>	"GIP"@en
<http://www.wikidata.org/entity/Q419940>	"dasatinib"@en
<http://www.wikidata.org/entity/Q417897>	"norfloxacin"@en
<http://www.wikidata.org/entity/Q417884>	"Cyproheptadine"@en
<http://www.wikidata.org/entity/Q419944>	"moxonidine"@en
<http://www.wikidata.org/entity/Q419948>	"torasemide"@en
<http://www.wikidata.org/entity/Q419953>	"topotecan"@en
<http://www.wikidata.org/entity/Q420207>	"capecitabine"@en
<http://www.wikidata.org/entity/Q417942>	"fluvastatin"@en
<http://www.wikidata.org/entity/Q417968>	"cefotaxime"@en
<http://www.wikidata.org/entity/Q417948>	"chlortetracycline"@en
<http://www.wikidata.org/entity/Q419503>	"aluminum phosphate"@en
<http://www.wikidata.org/entity/Q417997>	"ezetimibe"@en
<http://www.wikidata.org/entity/Q420296>	"cetuximab"@en
<http://www.wikidata.org/entity/Q420305>	"Ustekinumab"@en
<http://www.wikidata.org/entity/Q420323>	"lapatinib"@en
<http://www.wikidata.org/entity/Q418006>	"Colestyramine"@en
<http://www.wikidata.org/entity/Q420542>	"ticagrelor"@en
<http://www.wikidata.org/entity/Q420553>	"mycophenolic acid"@en
<http://www.wikidata.org/entity/Q420571>	"ticlopidine"@en
<http://www.wikidata.org/entity/Q420586>	"celiprolol"@en
<http://www.wikidata.org/entity/Q420590>	"ropinirol"@en
<http://www.wikidata.org/entity/Q420595>	"tigecycline"@en
<http://www.wikidata.org/entity/Q418060>	"desloratadine"@en
<http://www.wikidata.org/entity/Q418747>	"(2R)-daptomycin"@en
<http://www.wikidata.org/entity/Q420626>	"glyburide"@en
<http://www.wikidata.org/entity/Q419608>	"tetracaine"@en
<http://www.wikidata.org/entity/Q418101>	"pindolol"@en
<http://www.wikidata.org/entity/Q418086>	"amdinocillin pivoxil"@en
<http://www.wikidata.org/entity/Q418123>	"dimethyl fumarate"@en
<http://www.wikidata.org/entity/Q419028>	"chenodiol"@en
<http://www.wikidata.org/entity/Q418817>	"etoposide"@en
<http://www.wikidata.org/entity/Q418785>	"(RS)-amisulpride"@en
<http://www.wikidata.org/entity/Q418130>	"nebivolol"@en
<http://www.wikidata.org/entity/Q420288>	"vinpocetine"@en
<http://www.wikidata.org/entity/Q420228>	"nonivamide"@en
<http://www.wikidata.org/entity/Q419618>	"deferoxamine"@en
<http://www.wikidata.org/entity/Q419059>	"bethanechol"@en
<http://www.wikidata.org/entity/Q419079>	"nabilone"@en
<http://www.wikidata.org/entity/Q418139>	"esmolol"@en
<http://www.wikidata.org/entity/Q418153>	"2,5-diketopiperazines"@en
<http://www.wikidata.org/entity/Q418145>	"clemastine"@en
<http://www.wikidata.org/entity/Q419646>	"drospirenone"@en
<http://www.wikidata.org/entity/Q420360>	"phentolamine"@en
<http://www.wikidata.org/entity/Q419143>	"anastrozole"@en
<http://www.wikidata.org/entity/Q419834>	"(RS)-primaquine"@en
<http://www.wikidata.org/entity/Q419820>	"azelastine"@en
<http://www.wikidata.org/entity/Q420394>	"sucralfate"@en
<http://www.wikidata.org/entity/Q420387>	"foscarnet"@en
<http://www.wikidata.org/entity/Q420695>	"chloramine T"@en
<http://www.wikidata.org/entity/Q420705>	"crystal violet"@en
<http://www.wikidata.org/entity/Q420685>	"rasagiline"@en
<http://www.wikidata.org/entity/Q420859>	"oxandrolone"@en
<http://www.wikidata.org/entity/Q420875>	"Caspofungin"@en
<http://www.wikidata.org/entity/Q420031>	"Nitroprusside"@en
<http://www.wikidata.org/entity/Q420035>	"sulfasalazine"@en
<http://www.wikidata.org/entity/Q420885>	"tranylcypromine"@en
<http://www.wikidata.org/entity/Q421042>	"vildagliptin"@en
<http://www.wikidata.org/entity/Q420984>	"silver sulfadiazine"@en
<http://www.wikidata.org/entity/Q420039>	"Nonoxynol-9"@en
<http://www.wikidata.org/entity/Q421052>	"everolimus"@en
<http://www.wikidata.org/entity/Q420056>	"Peginterferon alfa-2a"@en
<http://www.wikidata.org/entity/Q419401>	"carbachol"@en
<http://www.wikidata.org/entity/Q419468>	"ciclopirox"@en
<http://www.wikidata.org/entity/Q419421>	"Tyrothricin"@en
<http://www.wikidata.org/entity/Q419415>	"simethicone"@en
<http://www.wikidata.org/entity/Q420607>	"proguanil"@en
<http://www.wikidata.org/entity/Q420644>	"felodipine"@en
<http://www.wikidata.org/entity/Q420682>	"guaifenesin"@en
<http://www.wikidata.org/entity/Q418922>	"urapidil"@en
<http://www.wikidata.org/entity/Q418913>	"armodafinil"@en
<http://www.wikidata.org/entity/Q418946>	"Colistin"@en
<http://www.wikidata.org/entity/Q418928>	"(RS)-fenfluramine"@en
<http://www.wikidata.org/entity/Q418957>	"pyridoxal phosphate"@en
<http://www.wikidata.org/entity/Q421547>	"rilpivirine"@en
<http://www.wikidata.org/entity/Q418970>	"(RS,RS)-reboxetine"@en
<http://www.wikidata.org/entity/Q419008>	"pemoline"@en
<http://www.wikidata.org/entity/Q418980>	"Gramicidin D"@en
<http://www.wikidata.org/entity/Q419849>	"Fludeoxyglucose (18F)"@en
<http://www.wikidata.org/entity/Q419861>	"Bromodeoxyuridine"@en
<http://www.wikidata.org/entity/Q419890>	"(+-)-flurbiprofen"@en
<http://www.wikidata.org/entity/Q421567>	"ethosuximide"@en
<http://www.wikidata.org/entity/Q421614>	"caryophyllene"@en
<http://www.wikidata.org/entity/Q421663>	"vigabatrin"@en
<http://www.wikidata.org/entity/Q421910>	"phenylephrine"@en
<http://www.wikidata.org/entity/Q419987>	"hydralazine"@en
<http://www.wikidata.org/entity/Q421862>	"ribavirin"@en
<http://www.wikidata.org/entity/Q421873>	"erythritol"@en
<http://www.wikidata.org/entity/Q419921>	"tripotassium citrate"@en
<http://www.wikidata.org/entity/Q419995>	"amiloride"@en
<http://www.wikidata.org/entity/Q421905>	"lobeline"@en
<http://www.wikidata.org/entity/Q419935>	"octreotide"@en
<http://www.wikidata.org/entity/Q422212>	"budesonide"@en
<http://www.wikidata.org/entity/Q418819>	"exemestane"@en
<http://www.wikidata.org/entity/Q420164>	"alemtuzumab"@en
<http://www.wikidata.org/entity/Q421091>	"levocetirizine"@en
<http://www.wikidata.org/entity/Q418857>	"acebutolol"@en
<http://www.wikidata.org/entity/Q419652>	"danazol"@en
<http://www.wikidata.org/entity/Q419663>	"methimazole"@en
<http://www.wikidata.org/entity/Q420186>	"famciclovir"@en
<http://www.wikidata.org/entity/Q419769>	"bosentan"@en
<http://www.wikidata.org/entity/Q421094>	"hydroxychloroquine"@en
<http://www.wikidata.org/entity/Q419739>	"triclabendazole"@en
<http://www.wikidata.org/entity/Q419753>	"melarsoprol"@en
<http://www.wikidata.org/entity/Q422112>	"methylphenidate"@en
<http://www.wikidata.org/entity/Q420188>	"fenoterol"@en
<http://www.wikidata.org/entity/Q419772>	"Policosanol"@en
<http://www.wikidata.org/entity/Q419841>	"(3aS)-palonosetron"@en
<http://www.wikidata.org/entity/Q420077>	"lacosamide"@en
<http://www.wikidata.org/entity/Q421670>	"meropenem"@en
<http://www.wikidata.org/entity/Q420098>	"imidacloprid"@en
<http://www.wikidata.org/entity/Q420113>	"ethyl cellulose"@en
<http://www.wikidata.org/entity/Q420133>	"chlorpheniramine"@en
<http://www.wikidata.org/entity/Q421768>	"methyltestosterone"@en
<http://www.wikidata.org/entity/Q421695>	"benfluorex"@en
<http://www.wikidata.org/entity/Q422134>	"methylene blue"@en
<http://www.wikidata.org/entity/Q421709>	"nandrolone"@en
<http://www.wikidata.org/entity/Q421857>	"aluminum sulfate"@en
<http://www.wikidata.org/entity/Q421713>	"ceftriaxone"@en
<http://www.wikidata.org/entity/Q419926>	"tiaprofenic acid"@en
<http://www.wikidata.org/entity/Q419939>	"doxazosin"@en
<http://www.wikidata.org/entity/Q422327>	"oxaliplatin"@en
<http://www.wikidata.org/entity/Q421058>	"Milnacipran"@en
<http://www.wikidata.org/entity/Q421072>	"pyrimethamine"@en
<http://www.wikidata.org/entity/Q422232>	"methotrexate"@en
<http://www.wikidata.org/entity/Q421076>	"tacrine"@en
<http://www.wikidata.org/entity/Q421534>	"asparaginase"@en
<http://www.wikidata.org/entity/Q422222>	"digoxin"@en
<http://www.wikidata.org/entity/Q421095>	"metoclopramide"@en
<http://www.wikidata.org/entity/Q422438>	"chloroquine"@en
<http://www.wikidata.org/entity/Q421119>	"captopril"@en
<http://www.wikidata.org/entity/Q422442>	"doxycycline"@en
<http://www.wikidata.org/entity/Q421136>	"sorafenib"@en
<http://www.wikidata.org/entity/Q421156>	"olmesartan"@en
<http://www.wikidata.org/entity/Q422585>	"lopinavir"@en
<http://www.wikidata.org/entity/Q421193>	"podofilox"@en
<http://www.wikidata.org/entity/Q421162>	"bifonazole"@en
<http://www.wikidata.org/entity/Q422482>	"gentamicin"@en
<http://www.wikidata.org/entity/Q422194>	"mebendazole"@en
<http://www.wikidata.org/entity/Q422604>	"emtricitabine"@en
<http://www.wikidata.org/entity/Q422652>	"rifampicin"@en
<http://www.wikidata.org/entity/Q421352>	"norethindrone"@en
<http://www.wikidata.org/entity/Q421369>	"maraviroc"@en
<http://www.wikidata.org/entity/Q422423>	"bromide"@en
<http://www.wikidata.org/entity/Q421429>	"nimodipine"@en
<http://www.wikidata.org/entity/Q421375>	"dinoprost"@en
<http://www.wikidata.org/entity/Q421274>	"dantrolene"@en
<http://www.wikidata.org/entity/Q421230>	"auranofin"@en
<http://www.wikidata.org/entity/Q421239>	"D-penicillamine"@en
<http://www.wikidata.org/entity/Q421291>	"iron(II) gluconate"@en
<http://www.wikidata.org/entity/Q421304>	"pramipexole"@en
<http://www.wikidata.org/entity/Q421920>	"flumazenil"@en
<http://www.wikidata.org/entity/Q421930>	"mirtazapine"@en
